Company Name,Location,Phone,Website,Employees,Revenue,Industry,SIC Code,NAICS Code,Specialties,Page URL
BankBazaar.com,,"[{'score': 'high', 'number': '+91 44 6651 1800', 'type': 'company_line'}]",http://www.bankbazaar.com,,$250 - 500M,Financial Services,,,,https://www.adapt.io/company/a---a-dukaan-financial-services-pvt-ltd
"A & E GARCIA, PA",,,http://www.aegarcia.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a---e-garcia--pa
A & J Insurance Agency,,"[{'score': 'high', 'number': '+1 626-444-7777', 'type': 'company_line'}]",http://www.hugedomains.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a---j-insurance-agency
A+ Business Advisors,,,http://www.aplusbusinessadvisors.com.au,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a--business-advisors
A. Farber & Partners,,,http://www.afarber.com,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/a--farber---partners-inc-
A+ Federal Credit Union,,,http://www.aplusfcu.org,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a--federal-credit-union
AJ Longo & Associates,,,http://www.ajlongo.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a--j---longo---associates
A. J. Renner & Associates,,"[{'number': '+1 877-578-4000', 'score': 'high', 'type': 'company_line'}]",http://www.ajrenner.com,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/a--j--renner---associates
A. Kilbride Insurance,,,http://www.akilbride.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a--kilbride-insurance
"A.M. Peisch & Company, LLP CPAs",,"[{'score': 'high', 'number': '+1 802-654-7255', 'type': 'company_line'}]",http://www.ampeisch.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a--m--peisch---company--llp-cpas-1
Montag Wealth,,,http://www.montagwealthmanagement.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a--montag---associates
"A+ Mortgage Services, Inc.",,,http://www.trustaplus.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a--mortgage-services--inc-
A. P. Sanzgiri & Co.,,"[{'score': 'high', 'number': '+91 91266 91254', 'type': 'company_line'}]",http://www.ca-aps.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a--p--sanzgiri---co-
A.P Michaud Insurance Agency,,"[{'score': 'high', 'number': '+1 978-685-2549', 'type': 'company_line'}]",http://www.michaudinsurance.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a--p-michaud-insurance-agency
"A. Schoeneman & Co,",,"[{'score': 'high', 'number': '+1 773-539-4334', 'type': 'company_line'}]",http://www.aschoeneman.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a--schoeneman---co---inc
"A. Uzzo & Company, C.P.A.'s, P.C.",,,http://www.auzzo.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a--uzzo---company--c-p-a--s--p-c-
A1 Mortgage,,"[{'score': 'high', 'number': '+1 833-682-4555', 'type': 'company_line'}]",http://www.mya1mortgage.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-1-mortgage-corp
A2Z Insurance,,,http://www.a2z-insurance.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-2-z-insurance--inc
ii-A,,,http://www.ii-a.com.au,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-521
A.A. Hammersmith Ins Agcy,,,http://www.aahammersmith.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-a--hammersmith-ins-agcy
"A&A, Ltd.",,,http://www.anacpa.net,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-a--ltd-
Aa Accounting,,"[{'score': 'high', 'number': '+1 309-685-8980', 'type': 'company_line'}]",http://www.aaaccounting.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-a-accounting---tax-svc
UOB Kay Hian Securities (M) Sdn Bhd.,,"[{'score': 'high', 'number': '+60 3-2147 1888', 'type': 'company_line'}]",http://www.utrade.com.my,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-a-anthony-securities-sdn-bhd
A-Abana Auto Insurance,,,http://www.a-abana.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-abana-insurance
A-Affordable Insurance Agency,,"[{'score': 'high', 'number': '+1 800-897-2837', 'type': 'company_line'}]",http://www.a-affordableinsurance.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-affordable-insurance-agency--inc--1
ADDI,,"[{'score': 'high', 'number': '+57 1 5140350', 'type': 'company_line'}]",http://www.addi.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-and-a-insurance-agency
A and H Insurance,,,http://www.aandhinsurance.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-and-h-insurance--inc-
Anthony Insurance,,,http://www.anthonyinsurance.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-anthony-insurance
A Asia Insurance Svc,,,http://www.asiainsurance.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-asia-insurance-svc
RHMC,,"[{'score': 'high', 'number': '+1 908-735-0020', 'type': 'company_line'}]",http://www.rhmc.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-better-mortgage-com
A Better Solution Insurance Services,,,http://www.abettersolutioninsurance.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-better-solution-insurance-services
A Better Way Financial,,,http://www.abetterwayfinancial.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-better-way-financial
A Bookkeeper 4 U,,,http://www.abk4u.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-bookkeeper-for-you
"A/C Accounting & Consulting Services, P.A.",,,http://www.acaccountant.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-c-accounting---consulting-services--p-a-
A C Agarwal Share Brokers,,"[{'score': 'high', 'number': '+91 99987 14950', 'type': 'company_line'}]",http://www.acagarwal.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-c-agarwal-share-brokers-pvt-ltd
Association for Contextual Behavioral Science,,"[{'score': 'high', 'number': '+1 225-302-8688', 'type': 'company_line'}]",http://www.contextualscience.org,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-c-b-s
Edwards and Company,,,http://www.edwardsandco.net,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-c-edwards-inc
AC Marmo & Sons,,,http://www.acmarmo.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-c-marmo-and-sons-inc
A. C. Rimmer,,,http://www.acrimmer.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-c-rimmer-inc
A-CAP,,,http://www.acap.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-cap-1
Combined Agents of America,,"[{'score': 'high', 'number': '+1 402-938-5008', 'type': 'company_line'}]",http://www.combinedagents.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-combined-agency
A CORNERSTONE INC,,,http://www.cornerstonesva.org,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-cornerstone-inc
ECO,,"[{'score': 'high', 'number': '+1 855-326-3268', 'type': 'company_line'}]",http://www.eco-pres.org,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-covenant-order-of-evangelical-presbyterians
A Cut Above Pet Stylists,,"[{'score': 'high', 'number': '+1 212-799-8746', 'type': 'company_line'}]",http://www.acutabovegrooming.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-cut-above-pet-grooming
A.D. Financial Sdn Bhd,,,http://www.adfinancial.com.my,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-d--financial-sdn-bhd
Northwest Federal Credit Union,,,http://www.nwfcu.org,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-division-of-northwest-federal-credit-union
"A.E. Mourad Agency, Inc.",,"[{'score': 'high', 'number': '+1 888-263-4656', 'type': 'company_line'}]",http://www.aemourad.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-e--mourad-agency--inc-
AEA Federal Credit Union,,"[{'score': 'high', 'number': '+1 928-783-8881', 'type': 'company_line'}]",http://www.aeafcu.org,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-e-a-credit-union
A&E Accounting Tax Service,,"[{'score': 'high', 'number': '+1 770-704-9906', 'type': 'company_line'}]",http://www.aeaccountingtax.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-e-accounting-tax-service--pc
A.F. WENDLING,,,http://www.afwendling.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-f--wendling--inc-
A For The People Insurance,,,http://www.aforthepeople.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-for-the-people-insurance
A.G.,,"[{'score': 'high', 'number': '+1 203-863-6000', 'type': 'company_line'}]",http://www.auspexgroup.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-g--2
"A-G ADMINISTRATORS, INC.",,,http://www.agadministrators.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-g-administrators--inc--1
Alliance Global Partners,,,http://www.allianceg.com,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/a-g-p--alliance-global-partners-
A G Welding,,,http://www.agwelding.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-g-welding
A Giving Heart Foundation,,"[{'score': 'high', 'number': '+1 312-498-6120', 'type': 'company_line'}]",http://www.aghf.org,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-giving-heart-foundation-2
A Great Mortgage Company,,"[{'score': 'high', 'number': '+1 856-702-6200', 'type': 'company_line'}]",http://www.hugedomains.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-great-mortgage-company
A&I Consulting,,,http://www.sedo.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-i-consulting-3
"AI FINANCIAL, INC.",,"[{'score': 'high', 'number': '+1 805-582-4829', 'type': 'company_line'}]",http://www.aifinancial.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-i-financial-inc
A&I Financial Services,,,http://www.assetsandincome.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-i-financial-services
